-179.0	179.0	500000.0
-179.0	177.0	67.546098
-179.0	175.0	63.118426
-179.0	173.0	60.973837
-179.0	171.0	58.537468
-179.0	169.0	55.275158
-179.0	167.0	51.592041
-179.0	165.0	48.543981
-179.0	163.0	46.01419
-179.0	161.0	43.917749
-179.0	159.0	42.1923
-179.0	157.0	40.791959
-179.0	155.0	39.683297
-179.0	153.0	38.842681
-179.0	151.0	38.25451
-179.0	149.0	37.910098
-179.0	147.0	37.80699
-179.0	145.0	37.948613
-179.0	143.0	38.344158
-179.0	141.0	39.008636
-179.0	139.0	39.963057
-179.0	137.0	41.23467
-179.0	135.0	42.857218
-179.0	133.0	500000.0
-179.0	131.0	500000.0
-179.0	129.0	500000.0
-179.0	127.0	500000.0
-179.0	125.0	500000.0
-179.0	123.0	500000.0
-179.0	121.0	500000.0
-179.0	119.0	500000.0
-179.0	117.0	500000.0
-179.0	115.0	500000.0
-179.0	113.0	500000.0
-179.0	111.0	500000.0
-179.0	109.0	500000.0
-179.0	107.0	500000.0
-179.0	105.0	500000.0
-179.0	103.0	500000.0
-179.0	101.0	500000.0
-179.0	99.0	500000.0
-179.0	97.0	500000.0
-179.0	95.0	500000.0
-179.0	93.0	500000.0
-179.0	91.0	500000.0
-179.0	89.0	500000.0
-179.0	87.0	500000.0
-179.0	85.0	500000.0
-179.0	83.0	500000.0
-179.0	81.0	500000.0
-179.0	79.0	500000.0
-179.0	77.0	500000.0
-179.0	75.0	500000.0
-179.0	73.0	500000.0
-179.0	71.0	500000.0
-179.0	69.0	500000.0
-179.0	67.0	500000.0
-179.0	65.0	500000.0
-179.0	63.0	500000.0
-179.0	61.0	500000.0
-179.0	59.0	500000.0
-179.0	57.0	500000.0
-179.0	55.0	500000.0
-179.0	53.0	500000.0
-179.0	51.0	500000.0
-179.0	49.0	500000.0
-179.0	47.0	500000.0
-179.0	45.0	500000.0
-179.0	43.0	500000.0
-179.0	41.0	500000.0
-179.0	39.0	500000.0
-179.0	37.0	500000.0
-179.0	35.0	500000.0
-179.0	33.0	500000.0
-179.0	31.0	500000.0
-179.0	29.0	500000.0
-179.0	27.0	500000.0
-179.0	25.0	500000.0
-179.0	23.0	500000.0
-179.0	21.0	500000.0
-179.0	19.0	500000.0
-179.0	17.0	500000.0
-179.0	15.0	110.838455
-179.0	13.0	120.30009
-179.0	11.0	131.444072
-179.0	9.0	145.1189
-179.0	7.0	158.583046
-179.0	5.0	173.269821
-179.0	3.0	185.804075
-179.0	1.0	196.87425
-179.0	-1.0	205.420271
-179.0	-3.0	210.513878
-179.0	-5.0	211.513177
-179.0	-7.0	208.178329
-179.0	-9.0	200.715241
-179.0	-11.0	189.734065
-179.0	-13.0	176.134807
-179.0	-15.0	160.952706
-179.0	-17.0	145.203473
-179.0	-19.0	129.761727
-179.0	-21.0	115.290246
-179.0	-23.0	102.220662
-179.0	-25.0	90.774006
-179.0	-27.0	81.004494
-179.0	-29.0	72.85098
-179.0	-31.0	66.184976
-179.0	-33.0	60.849308
-179.0	-35.0	56.685755
-179.0	-37.0	53.552705
-179.0	-39.0	51.335133
-179.0	-41.0	49.949455
-179.0	-43.0	49.345546
-179.0	-45.0	49.50776
-179.0	-47.0	50.456394
-179.0	-49.0	52.250834
-179.0	-51.0	54.995738
-179.0	-53.0	58.852058
-179.0	-55.0	64.202489
-179.0	-57.0	500000.0
-179.0	-59.0	500000.0
-179.0	-61.0	500000.0
-179.0	-63.0	500000.0
-179.0	-65.0	500000.0
-179.0	-67.0	500000.0
-179.0	-69.0	500000.0
-179.0	-71.0	500000.0
-179.0	-73.0	500000.0
-179.0	-75.0	500000.0
-179.0	-77.0	500000.0
-179.0	-79.0	500000.0
-179.0	-81.0	500000.0
-179.0	-83.0	500000.0
-179.0	-85.0	500000.0
-179.0	-87.0	500000.0
-179.0	-89.0	500000.0
-179.0	-91.0	500000.0
-179.0	-93.0	500000.0
-179.0	-95.0	500000.0
-179.0	-97.0	500000.0
-179.0	-99.0	500000.0
-179.0	-101.0	500000.0
-179.0	-103.0	500000.0
-179.0	-105.0	500000.0
-179.0	-107.0	500000.0
-179.0	-109.0	500000.0
-179.0	-111.0	500000.0
-179.0	-113.0	500000.0
-179.0	-115.0	500000.0
-179.0	-117.0	500000.0
-179.0	-119.0	500000.0
-179.0	-121.0	500000.0
-179.0	-123.0	500000.0
-179.0	-125.0	500000.0
-179.0	-127.0	500000.0
-179.0	-129.0	500000.0
-179.0	-131.0	500000.0
-179.0	-133.0	500000.0
-179.0	-135.0	500000.0
-179.0	-137.0	500000.0
-179.0	-139.0	500000.0
-179.0	-141.0	500000.0
-179.0	-143.0	500000.0
-179.0	-145.0	500000.0
-179.0	-147.0	500000.0
-179.0	-149.0	500000.0
-179.0	-151.0	500000.0
-179.0	-153.0	500000.0
-179.0	-155.0	500000.0
-179.0	-157.0	500000.0
-179.0	-159.0	500000.0
-179.0	-161.0	500000.0
-179.0	-163.0	500000.0
-179.0	-165.0	500000.0
-179.0	-167.0	500000.0
-179.0	-169.0	500000.0
-179.0	-171.0	500000.0
-179.0	-173.0	500000.0
-179.0	-175.0	500000.0
-179.0	-177.0	500000.0
-179.0	-179.0	500000.0

-177.0	179.0	61.69893
-177.0	177.0	59.103678
-177.0	175.0	55.344663
-177.0	173.0	53.554149
-177.0	171.0	51.361829
-177.0	169.0	48.398994
-177.0	167.0	45.873422
-177.0	165.0	43.04148
-177.0	163.0	40.656999
-177.0	161.0	38.67724
-177.0	159.0	37.059104
-177.0	157.0	35.744297
-177.0	155.0	34.697741
